t.uri	pref.uri
http://purl.obolibrary.org/obo/ENVO_00000106	http://purl.obolibrary.org/obo/ENVO_01000177
http://purl.obolibrary.org/obo/ENVO_01001357	http://purl.obolibrary.org/obo/ENVO_01000179
http://purl.obolibrary.org/obo/ENVO_01000378	http://purl.obolibrary.org/obo/ENVO_01000179
http://purl.obolibrary.org/obo/ENVO_01000382	http://purl.obolibrary.org/obo/ENVO_01000179
http://purl.obolibrary.org/obo/ENVO_00000097	http://purl.obolibrary.org/obo/ENVO_01000179
http://purl.obolibrary.org/obo/ENVO_01001370	http://purl.obolibrary.org/obo/ENVO_01000180
http://purl.obolibrary.org/obo/ENVO_01000403	http://purl.obolibrary.org/obo/ENVO_01000181
http://purl.obolibrary.org/obo/ENVO_00000057	http://purl.obolibrary.org/obo/ENVO_01000181
http://purl.obolibrary.org/obo/ENVO_01000430	http://purl.obolibrary.org/obo/ENVO_01000197
http://purl.obolibrary.org/obo/ENVO_01000431	http://purl.obolibrary.org/obo/ENVO_01000198
http://purl.obolibrary.org/obo/ENVO_01000397	http://purl.obolibrary.org/obo/ENVO_01000202
http://purl.obolibrary.org/obo/ENVO_01000377	http://purl.obolibrary.org/obo/ENVO_01000205
http://purl.obolibrary.org/obo/ENVO_01000400	http://purl.obolibrary.org/obo/ENVO_01000220
http://purl.obolibrary.org/obo/ENVO_01001022	http://purl.obolibrary.org/obo/ENVO_01000252
http://purl.obolibrary.org/obo/ENVO_01000824	http://purl.obolibrary.org/obo/ENVO_01000252
http://purl.obolibrary.org/obo/ENVO_01001021	http://purl.obolibrary.org/obo/ENVO_01000252
http://purl.obolibrary.org/obo/ENVO_01001076	http://purl.obolibrary.org/obo/ENVO_01000252
http://purl.obolibrary.org/obo/ENVO_01000599	http://purl.obolibrary.org/obo/ENVO_01000253
http://purl.obolibrary.org/obo/ENVO_01000297	http://purl.obolibrary.org/obo/ENVO_01000253
http://purl.obolibrary.org/obo/ENVO_03000065	http://purl.obolibrary.org/obo/ENVO_01000277
http://purl.obolibrary.org/obo/ENVO_01001546	http://purl.obolibrary.org/obo/ENVO_01000277
http://purl.obolibrary.org/obo/ENVO_01000365	http://purl.obolibrary.org/obo/ENVO_01000277
http://purl.obolibrary.org/obo/ENVO_03000004	http://purl.obolibrary.org/obo/ENVO_01000277
http://purl.obolibrary.org/obo/ENVO_00000132	http://purl.obolibrary.org/obo/ENVO_01000277
http://purl.obolibrary.org/obo/ENVO_01001335	http://purl.obolibrary.org/obo/ENVO_01000277
http://purl.obolibrary.org/obo/ENVO_01000293	http://purl.obolibrary.org/obo/ENVO_01000277
http://purl.obolibrary.org/obo/ENVO_01000331	http://purl.obolibrary.org/obo/ENVO_01000331
http://purl.obolibrary.org/obo/ENVO_01000333	http://purl.obolibrary.org/obo/ENVO_01000333
http://purl.obolibrary.org/obo/ENVO_01000340	http://purl.obolibrary.org/obo/ENVO_01000340
http://purl.obolibrary.org/obo/ENVO_01000435	http://purl.obolibrary.org/obo/ENVO_01000435
http://purl.obolibrary.org/obo/ENVO_01000392	http://purl.obolibrary.org/obo/ENVO_01000435
http://purl.obolibrary.org/obo/ENVO_01000628	http://purl.obolibrary.org/obo/ENVO_01000628
http://purl.obolibrary.org/obo/ENVO_00000303	http://purl.obolibrary.org/obo/ENVO_01000687
http://purl.obolibrary.org/obo/ENVO_01001379	http://purl.obolibrary.org/obo/ENVO_01001386

When textmining WoRMS Habitat articles: https://eol-jira.bibalex.org/browse/DATA-1870?focusedCommentId=65469&page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel#comment-65469
http://purl.obolibrary.org/obo/ENVO_00000130	http://purl.obolibrary.org/obo/ENVO_01000143


